Date,Balanced Advantage Category,Corporate Bond Category,Liquid Category,US Equity FOF Category,Large Cap Category,Small Cap Category,Mid Cap Category,Flexi Cap Category,Aggressive Hybrid Category
2009-03-05,,,589.7955,,25.981,,1015.4966,,
2009-03-06,,,589.7955,,26.634,,1013.7467,,
2009-03-09,,,589.7955,,26.24,,993.1978,,
2009-03-12,,,589.7955,,26.644,,998.6975,,
2009-03-13,,,589.8074,,27.431,,1032.2957,,
2009-03-16,,,589.7955,,28.018,,1069.3937,,
2009-03-17,,,589.8074,,27.77,,1062.9941,,
2009-03-18,,,589.7955,,28.084,,1082.3931,,
2009-03-19,,,589.7955,,28.172,,1084.293,,
2009-03-20,,,589.7955,,28.203,,1080.3932,,
2009-03-23,,,589.7955,,29.473,,1113.5414,,
2009-03-24,,,589.8074,,29.535,,1101.0421,,
2009-03-25,,,589.7955,,29.957,,1110.1416,,
2009-03-26,,,589.8017,,30.973,,1140.1901,,
2009-03-27,,,589.7955,,31.221,,1175.1882,,
2009-03-30,,,589.7955,,29.834,,1139.7401,,
2009-03-31,,,589.8074,,30.306,,1164.9387,,
2009-04-01,,,589.8074,,30.871,,1185.1877,,
2009-04-02,,,589.8017,,32.228,,1239.7349,,
2009-04-06,,,589.7955,,32.702,,1265.9835,,
2009-04-08,,,589.8074,,33.541,,1307.6813,,
2009-04-09,,,589.8074,,33.53,,1317.6307,,
2009-04-13,,,589.8074,,33.868,,1360.5785,,
2009-04-15,,,589.8074,,35.015,,1436.8744,,
2009-04-16,,,589.8074,,33.772,,1358.9786,,
2009-04-17,,,589.8017,,33.964,,1370.178,,
2009-04-20,,,589.8074,,33.817,,1380.1274,,
2009-04-21,,,589.8074,,33.832,,1378.5275,,
2009-04-22,,,589.8074,,33.358,,1357.5786,,
2009-04-23,,,589.8074,,34.496,,1386.1271,,
2009-04-24,,,589.8074,,35.067,,1408.5259,,
2009-04-27,,,589.8074,,34.891,,1399.1764,,
